id,short_name,eng_name
1,rp,Rogers park
2,wr,West ridge
3,ut,Uptown
4,ls,Lincoln square
5,nc,North center
6,lv,Lake view
7,lp,Lincoln Park
8,mm,Magnificent Mile
9,ep,Edison park
10,np,Norwood park
11,jp,Jefferson Park
12,fg,Forest glen
13,np,North park
15,ap,Albany park
16,pp,Portage park
17,ip,Irving park
18,dl,Dunning
19,mc,Montclare
20,bc,Belmont cragin
21,av,Avondale
22,ls,Logan square
23,hp,Humboldt Park
24,wt,West town
25,at,Austin
26,wgp,West garfield park
27,egp,East garfield park