id,place,time,o3,pm2.5,no2,pm10
646,1,6/30/18 0:00,NULL,NULL,NULL,9
649,2,6/30/18 0:00,0.023,NULL,8.2,NULL
652,3,6/30/18 0:00,0.028,9,NULL,NULL
655,4,6/30/18 0:00,0.029,12.3,NULL,NULL
658,5,6/30/18 0:00,0.029,NULL,4.6,NULL
661,6,6/30/18 1:00,0.024,NULL,8.2,NULL
664,7,6/30/18 1:00,NULL,NULL,NULL,5
667,8,6/30/18 1:00,0.03,9.3,NULL,NULL
670,9,6/30/18 1:00,0.026,NULL,6.3,NULL
673,10,6/30/18 2:00,0.024,NULL,7.5,NULL
676,11,6/30/18 2:00,NULL,NULL,NULL,3
679,12,6/30/18 2:00,0.03,11.1,NULL,NULL
682,13,6/30/18 2:00,0.03,13,NULL,NULL
685,15,6/30/18 2:00,0.022,NULL,17.4,NULL
688,16,6/30/18 3:00,0.025,NULL,5.5,NULL
691,18,6/30/18 3:00,0.033,12.4,NULL,NULL
694,19,6/30/18 3:00,0.029,11.1,NULL,NULL
697,20,6/30/18 3:00,NULL,NULL,NULL,6
700,21,6/30/18 3:00,0.022,NULL,16.2,NULL
703,22,6/30/18 4:00,0.022,NULL,7,NULL
706,24,6/30/18 4:00,NULL,NULL,NULL,6
709,25,6/30/18 4:00,0.026,11.5,NULL,NULL
712,26,6/30/18 4:00,0.026,11.2,NULL,NULL
715,27,6/30/18 4:00,0.022,NULL,10.7,NULL
718,17,6/30/18 5:00,0.02,NULL,8.5,NULL
1019,23,6/30/18 5:00,0.025,9.6,NULL,NULL
647,1,6/30/18 5:00,0.024,12.3,NULL,NULL
650,2,6/30/18 5:00,0.019,NULL,11.8,NULL
653,3,6/30/18 5:00,NULL,NULL,NULL,16
656,4,6/30/18 6:00,0.022,NULL,8.3,NULL
659,5,6/30/18 6:00,NULL,NULL,NULL,29
662,6,6/30/18 6:00,0.025,7.9,NULL,NULL
665,7,6/30/18 6:00,0.026,8.9,NULL,NULL
668,8,6/30/18 6:00,0.023,NULL,9.7,NULL
671,9,6/30/18 7:00,0.026,NULL,8.3,NULL
674,10,6/30/18 7:00,NULL,NULL,NULL,24
677,11,6/30/18 7:00,0.031,5.8,NULL,NULL
680,12,6/30/18 7:00,0.032,12.7,NULL,NULL
683,13,6/30/18 7:00,0.032,NULL,9.9,NULL
686,15,6/30/18 8:00,0.032,NULL,6.8,NULL
689,16,6/30/18 8:00,NULL,NULL,NULL,19
692,18,6/30/18 8:00,0.032,4.2,NULL,NULL
695,19,6/30/18 8:00,0.039,12.6,NULL,NULL
698,20,6/30/18 8:00,0.046,NULL,9.8,NULL
701,21,6/30/18 9:00,0.038,NULL,6.7,NULL
704,22,6/30/18 9:00,NULL,NULL,NULL,18
707,24,6/30/18 9:00,0.038,-1.8,NULL,NULL
710,25,6/30/18 9:00,0.045,15.1,NULL,NULL
713,26,6/30/18 9:00,0.055,NULL,13.6,NULL
716,27,6/30/18 10:00,0.041,NULL,6.2,NULL
719,17,6/30/18 10:00,NULL,NULL,NULL,21
1020,23,6/30/18 10:00,0.045,3.6,NULL,NULL
720,1,6/30/18 10:00,0.051,13.7,NULL,NULL
721,4,6/30/18 10:00,0.061,NULL,7.6,NULL
722,5,6/30/18 11:00,0.043,NULL,5.7,NULL
723,8,6/30/18 11:00,NULL,NULL,NULL,15
724,9,6/30/18 11:00,0.056,4.2,NULL,NULL
725,10,6/30/18 11:00,0.059,17.6,NULL,NULL
726,11,6/30/18 11:00,0.06,NULL,4.8,NULL
727,12,6/30/18 12:00,0.046,NULL,5.7,NULL
728,13,6/30/18 12:00,NULL,NULL,NULL,15
729,15,6/30/18 12:00,0.06,9.1,NULL,NULL
730,21,6/30/18 12:00,0.057,16.4,NULL,NULL
731,22,6/30/18 12:00,0.054,NULL,4.2,NULL
732,24,6/30/18 13:00,0.045,NULL,5.3,NULL
733,25,6/30/18 13:00,NULL,NULL,NULL,13
734,26,6/30/18 13:00,0.059,14.6,NULL,NULL
735,27,6/30/18 13:00,0.059,17.4,NULL,NULL
1021,23,6/30/18 13:00,0.047,NULL,6.2,NULL
1092,2,6/30/18 14:00,0.042,NULL,6.2,NULL
1094,3,6/30/18 14:00,NULL,NULL,NULL,20
1096,6,6/30/18 14:00,0.056,15.8,NULL,NULL
1098,7,6/30/18 14:00,0.054,15.1,NULL,NULL
1104,16,6/30/18 14:00,0.047,NULL,14.3,NULL
1106,17,6/30/18 15:00,0.043,NULL,4.8,NULL
1113,18,6/30/18 15:00,NULL,NULL,NULL,16
1115,19,6/30/18 15:00,0.052,17.8,NULL,NULL
1117,20,6/30/18 15:00,0.05,10.5,NULL,NULL
736,1,6/30/18 15:00,0.045,NULL,5,NULL
750,2,6/30/18 16:00,0.042,NULL,4.4,NULL
763,3,6/30/18 16:00,NULL,NULL,NULL,11
776,4,6/30/18 16:00,0.049,21,NULL,NULL
790,5,6/30/18 16:00,0.049,15.6,NULL,NULL
804,6,6/30/18 16:00,0.044,NULL,3.6,NULL
817,7,6/30/18 17:00,0.04,NULL,4,NULL
830,8,6/30/18 17:00,NULL,NULL,NULL,15
844,9,6/30/18 17:00,0.046,18.8,NULL,NULL
858,10,6/30/18 17:00,0.046,15.8,NULL,NULL
872,11,6/30/18 17:00,0.04,NULL,3.5,NULL
882,12,6/30/18 18:00,0.036,NULL,5.1,NULL
896,13,6/30/18 18:00,NULL,NULL,NULL,16
910,15,6/30/18 18:00,0.042,17.7,NULL,NULL
924,16,6/30/18 18:00,0.041,17.3,NULL,NULL
945,18,6/30/18 18:00,0.039,NULL,4.4,NULL
958,19,6/30/18 19:00,0.034,NULL,5.5,NULL
971,20,6/30/18 19:00,NULL,NULL,NULL,5
984,21,6/30/18 19:00,0.04,21,NULL,NULL
998,22,6/30/18 19:00,0.039,12.4,NULL,NULL
1022,23,6/30/18 19:00,0.04,NULL,3.8,NULL
1036,24,6/30/18 20:00,0.033,NULL,5.9,NULL
1050,25,6/30/18 20:00,NULL,NULL,NULL,22
1064,26,6/30/18 20:00,0.04,15.4,NULL,NULL
1078,27,6/30/18 20:00,0.036,16.1,NULL,NULL
1107,17,6/30/18 20:00,0.037,NULL,8.2,NULL
737,1,6/30/18 21:00,0.033,NULL,7,NULL
777,4,6/30/18 21:00,NULL,NULL,NULL,11
791,5,6/30/18 21:00,0.038,18.4,NULL,NULL
831,8,6/30/18 21:00,0.034,26.2,NULL,NULL
845,9,6/30/18 21:00,0.041,NULL,5.3,NULL
859,10,6/30/18 22:00,0.037,NULL,6.5,NULL
873,10,6/30/18 22:00,NULL,NULL,NULL,7
883,10,6/30/18 22:00,0.038,19,NULL,NULL
897,10,6/30/18 22:00,0.036,22.4,NULL,NULL
911,10,6/30/18 22:00,0.042,NULL,5.3,NULL
985,10,6/30/18 23:00,0.034,NULL,7.5,NULL
999,10,6/30/18 23:00,NULL,NULL,NULL,17
1023,10,6/30/18 23:00,0.036,14.2,NULL,NULL
1037,10,6/30/18 23:00,0.034,11.5,NULL,NULL
1051,10,6/30/18 23:00,0.041,NULL,10,NULL